itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,creators,collections
397,ZPQ7HMXA,book,"2019-12-09 16:35:43","2019-12-09 16:35:54","For example : (a critique of never) : a melodrama : (from The Mechanism of meaning)",,"1974-00-00 1974","[S.l.] : A. Castelli",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1320763,,English,,,"N7433.4 .G56","Art Library",,,,,,,"Madeline Gins; Shūsaku, 1936-2010 Arakawa","Artists' Books Collection"
398,KYPIYDNV,book,"2019-12-09 16:34:40","2019-12-09 16:35:16","Thirteen stories : April 1972",,"1972-00-00 1972","[S.l. : s.n.], 1972?",,,,,,,37,,,,https://catalog.lib.unc.edu/catalog/UNCb1267437,,English,,,"N7433.4 .R32","Art Library",,,,,,,"Vaughan Rachel","Artists' Books Collection"
399,PSR69JFR,book,"2019-12-09 16:34:14","2019-12-09 16:34:40","It is... it isn't...",,"1972-00-00 1972","Y. Lambert",Paris,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1265576,,English,,,"N7433.4.B37 I8","Art Library",,,,,,,"Robert, 1936- Barry","Artists' Books Collection"
400,G539678C,book,"2019-12-09 16:33:07","2019-12-09 16:34:14","Roodborst territorium: sculptuur 1969, april-juni. Robin Redbreast's territory; sculpture 1969. Domaine d'un rouge-gorge: sculpture 1969. Rotkehlchenterritorium: Skulptur 1969.",,"1970-00-00 1970","Köln, New York Gebr. König, Seth Siegelaub","Koln; New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1241038,,Dutch,,,"N7433.4.D536 R6","Art Library",,,,,,,"Jan Dibbets","Artists' Books Collection; CMPL 260"
401,PHNLQTGC,book,"2019-12-09 16:29:08","2019-12-09 16:33:08","Entrée libre, roman hypergraphique, polyautomatique, cryptographique infinitésimal, supertemporel.",,"1967-00-00 1967","Centre de créativité",Paris,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1234215,,French,,,"N7433.4.L434 E6","Art Library",,,,,,,"Maurice Lemaître","Artists' Books Collection"
402,7ZIJ5CXE,book,"2019-12-09 16:28:05","2019-12-09 16:29:09","Twentysix gasoline stations.",,"1962-00-00 1962 [i.e. 1969]","Cunningham Press","Alhambra, CA",,,3rd,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1201390,,English,,,"N7433.4.R78 A4 1969a","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection"
403,Q6966ZEK,book,"2019-12-09 16:27:03","2019-12-09 16:28:05",Kex.,,"1966-00-00 1966","William and Noma Copley Foundation",Chicago,,1,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1187609,,English,,,"N7433.4.P28 K5","Art Library",,,,,,,"Eduardo Paolozzi","Artists' Books Collection"
404,ZNQ8DVG6,book,"2019-12-09 16:25:40","2019-12-09 16:27:03","Function = funzione = funcion = fonction = Funktion.",,"1970-00-00 1970","Torino, Sperone",,,,,,,47,,,,https://catalog.lib.unc.edu/catalog/UNCb1184060,,"English, French, German, Italian, Spanish",,,"N7433.4.K693 F8","Art Library",,,,,,,"Joseph Kosuth","Artists' Books Collection"
405,MHQJXPU4,book,"2019-12-09 16:24:52","2019-12-09 16:25:22","Colored people.",,"1972-00-00 1972","American distributor: Wittenborn","New York",,,,,,16,,,,https://catalog.lib.unc.edu/catalog/UNCb1177879,,English,,,"N7433.4.R78 A4","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection"
406,HJAXE5K6,book,"2019-12-09 16:24:16","2019-12-09 16:24:52",Records,,"1971-00-00 1971","Heavy Industry Publications","Hollywood, Calif.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1166617,,English,,,"N7433.4.R78 A4 1971a","Art Library",,,,,,,"Edward Ruscha; Jerry, 1936- McMillan","Artists' Books Collection"
407,HHZ4J3GZ,book,"2019-12-09 16:23:21","2019-12-09 16:24:16","Every building on the Sunset Strip.",,"1966-00-00 1966",,"Los Angeles",,1,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1164339,,English,,,"N7433.4.R78 A4","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection"
408,9YSIF956,book,"2019-12-09 16:21:35","2019-12-09 16:22:01",Crackers.,,"1969-00-00 1969","Heavy Industries","Hollywood, Calif.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1158412,,English,,,"N7433.4.R78 A4","Art Library",,,,,,,"Edward Ruscha; Mason Williams","Artists' Books Collection"
409,UJGRWX24,book,"2019-12-09 16:20:36","2019-12-09 16:21:35","Arcs, from corners & sides, circles, & grids and all their combinations.",,"1972-00-00 1972","[Berne] Kunsthalle Bern & Paul Bianchini, 1972.",,,,,,,208,,,,https://catalog.lib.unc.edu/catalog/UNCb1154069,,English,,,"N7433.4.L48 A85","Art Library",,,,,,,"Sol LeWitt; Kunsthalle Bern","Artists' Books Collection"
410,ENMSTWBI,book,"2019-12-09 16:19:45","2019-12-09 16:20:02",Sweethearts.,,"1967-00-00 1967","Something Else Press","New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1115918,,English,,,"PS3573.I449 S9 1967b","Art Library",,,,,,,"Emmett Williams","Artists' Books Collection"
411,W2CKKEFW,book,"2019-12-09 16:17:37","2019-12-09 16:17:57","Thirty four parking lots in Los Angeles.",,"1967-00-00 1967","[n.p.] 1967.",,,,,,,43,,,,https://catalog.lib.unc.edu/catalog/UNCb1114534,,English,,,"N7433.4.R78 A4","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection"
412,TBG89TUM,book,"2019-12-09 16:16:47","2019-12-09 16:17:37","H [I D I N G]",,"1972-00-00 1972","Rock County Productions,","Janesville, WI",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1106732,,English,,,"N7433.4 .E83","Art Library",,,,,,,"Fred Escher","Artists' Books Collection"
413,LJTCCQUS,book,"2019-12-09 16:14:56","2019-12-09 16:16:47","Various small fires and milk.",,"1964-00-00 1964 [1970]","Anderson, Ritchie & Simon","Los Angeles",,1,2nd,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1088993,,English,,,"N7433.4.R78 A4 1970b","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection; ARTH 551"
414,FVSSL4SY,book,"2019-12-09 15:41:54","2019-12-09 16:14:56","Zen in the art of photography",,"1971-00-00 1971, c1969","Images Press","Berkeley, Calif.",,,,,,,,978-0-9600374-0-7,,https://catalog.lib.unc.edu/catalog/UNCb1034868,,English,,"Open WorldCat","N7433.4 .L46 1974",,,"OCLC: 761178235",,,,,"Robert Leverant","Artists' Books Collection"
415,TNTBK9RH,book,"2019-12-09 16:09:40","2019-12-09 16:10:17","Visual language.",,"1970-00-00 1970","Assembling Press","Brooklyn, NY",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1040122,,English,,,"N7433.4 .K67","Art Library",,,,,,,"Richard Kostelanetz","Artists' Books Collection"
416,G83HFHQA,book,"2019-12-09 15:40:24","2019-12-09 16:04:52","The adventures of Mr. and Mrs. Jim and Ron",,"1970-00-00 1970","Cape Goliard Press",London,,,,,,,,978-0-206-61766-0,,https://catalog.lib.unc.edu/catalog/UNCb1024982,,,,,"N7433.4.D58 A35 1970",,,,,,,,"Jim Dine; Ron Padgett","Artists' Books Collection"
457,7ZDEDDST,book,"2020-01-08 17:55:58","2020-01-08 17:59:56","Tea, c, d&c : cycles interrupted",,"1994-00-00 1994","[S.n.] (Visual Studies Workshop Press)","[S.l.] (Rochester, N.Y.)",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2927033,,English,,,"N7433.4.W548 T43 1994","Art Library",,,,,,,"Amy, 1973- Wilson; Women's Studio Workshop; Visual Studies Workshop","Artists' Books Collection"
458,XGBCRW8B,book,"2020-01-08 17:53:35","2020-01-08 17:55:58","Site readings",,"1993-00-00 1993","[A. George?]","[United States]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2927017,,English,,,"N7433.4.G46 S574 1993","Art Library",,,,,,,"Anne George; Women's Studio Workshop","Artists' Books Collection"
459,LLBP3IUB,book,"2020-01-08 17:50:11","2020-01-08 17:53:35","My 9 migraine cures",,"1987-00-00 1987","Distributed by Visual Studies Workshop; Distributed by Women's Studio Workshop","Rochester, N.Y.; Rosendale, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2926943,,English,,,"N7433.4.K34 A4 1987","Art Library",,,,,,,"Ann E. Kalmbach; Tana Kellner; Visual Studies Workshop; Women's Studio Workshop","Artists' Books Collection"
460,QZI8KM7C,book,"2020-01-08 17:48:20","2020-01-08 17:50:11","Then what? : photographs and folklore",,"1990-00-00 1990","CEPA Gallery","Buffalo, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2914429,,English,,,"N7433.4.W384 T44 1990","Art Library",,,,,,,"Carrie Mae, 1953- Weems; CEPA Gallery","Artists' Books Collection; EDUC 567 - 2021"
461,DFQRLP65,book,"2020-01-08 17:43:40","2020-01-08 17:48:20","History of the/my word : fragments of a testimonial to history, some lived and realized moments open to claims of memory.",,"1995-00-00 1995","Granary Books","New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2845258,,English,,,"N7433.4.D83 H57 1995","Art Library",,,,,,,"Johanna, 1952- Drucker; Granary Books (Firm); Druckwerk (Press)","Artists' Books Collection"
462,NA9H59MR,book,"2020-01-08 17:33:13","2020-01-08 17:34:47","Optimism : Hirsch Farm Project, 1994.",,"1994-00-00 1994","Hirsch Foundation","Northbrook, Ill.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2814107,,English,,,"N7433.4.H55 O68 1994","Art Library",,,,,,,"Hirsch Foundation","Artists' Books Collection; Fall 2021 display -- Care and Wellness"
463,ZIBCI6YN,book,"2020-01-08 17:16:07","2020-01-08 17:33:14","Libro quemado = Burnt book",,"1995-00-00 1995","Nexus Press","Atlanta, Ga.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2797017,,English,,,"N7433.4.K38 L537 1995","Art Library",,,,,,,"Leandro, 1938- Katz; Nexus Press","Artists' Books Collection; EDUC 567 - 2021"
464,KNQTK6HU,book,"2020-01-08 17:07:19","2020-01-08 17:13:26","Light in the head",,"1995-00-00 1995","Burning Editions; Nexus Press","Montreal, Quebec; Atlanta, Ga.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2789761,,English,,,"N7433.4.F67 L54 1995","Art Library",,,,,,,"Andrew, 1959- Forster; Nexus Press","Artists' Books Collection"
465,SFWQ6TR9,book,"2020-01-08 16:57:28","2020-01-08 17:07:19","Mine fields",,"1995-00-00 1995","Nexus Press",Atlanta,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2788762,,English,,,"N7433.4.B874 M5 1995","Art Library",,,,,,,"Bill, 1943- Burke; Nexus Press","Artists' Books Collection"
466,C8BMD28G,book,"2019-12-11 23:43:07","2019-12-12 01:59:25",Escape,,"1994-00-00 1994","Nexus Press","Atlanta, GA",,,,,,12,,,,https://catalog.lib.unc.edu/catalog/UNCb2776709,,English,,,"N7433.4.R3 E83 1994","Art Library",,,,,,,"Cay Sophie Rabinowitz","Artists' Books Collection"
467,SYJJ5WP8,book,"2019-12-11 23:40:57","2019-12-11 23:42:35",[Totems],,"1993-00-00 1993","Nexus Press","Atlanta GA",,3,,,,,,"0-932526-43-8 0-932526-44-6 0-932526-45-4",,https://catalog.lib.unc.edu/catalog/UNCb2711592,,English,,,"N7433.4.K55 T6 1994 book 1 ; N7433.4.K55 T6 1994 book 2 ; N7433.4.K55 T6 1994 book 3","Art Library",,,,,,,"Lewis, 1949- Koch","Artists' Books Collection"
468,PI7NYVAN,book,"2019-12-11 23:39:56","2019-12-11 23:40:57","Libro illeggibile N.Y. 1",,"1967-00-00 1967","Museum of Modern Art","New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2680622,,English,,,"N7433.4.M86 L5 1967","Art Library",,,,,,,"Bruno Munari","Artists' Books Collection"
469,K92ZU7MI,book,"2019-12-11 23:37:26","2019-12-11 23:38:23","1492 : what is it like to be discovered?",,"1991-00-00 1991","Monthly Review Press","New York",,1,,,,,,0-85345-836-7,,https://catalog.lib.unc.edu/catalog/UNCb2481332,,English,,,"N7433.4.S43 A4 1991","Art Library",,,,,,,"Deborah, 1948- Small; Maggie Jaffe","Artists' Books Collection; CMPL 260; EDUC 567 - 2021"
470,3D6FV8RW,book,"2019-12-11 23:36:25","2019-12-11 23:37:26","Genetics lesson",,"1992-00-00 1992","Nexus Press",Atlanta,,,,,,25,,0-932526-37-3,,https://catalog.lib.unc.edu/catalog/UNCb2451991,,English,,,"N7433.4.F34 A4 1992 c. 2","Art Library",,,,,,,"Ann Fessler","Artists' Books Collection"
471,TQKWK7R9,book,"2019-12-11 23:34:28","2019-12-11 23:36:25","Cats in bag, bags in river",,"1991-00-00 1991","Rotterdam : Museum Boymans-Van Beuningen ; Köln : Kunstverein","Rotterdam ; Koln",,,,,,,,90-6918-069-3,,https://catalog.lib.unc.edu/catalog/UNCb2415325,,"English, Dutch, German",,,"N7433.4.W66 A4 1991","Art Library",,,,,,,"Christopher Wool","Artists' Books Collection"
472,54Y58IEG,book,"2019-12-11 23:33:43","2019-12-11 23:34:40",Antlers.,,"1975-00-00 1975","J. Zweig",S.I.,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2399020,,English,,,"N7433.4.Z93 A4 1975","Art Library",,,,,,,"Janet Zweig","Artists' Books Collection"
473,QJ3T4MCD,book,"2019-12-11 23:32:57","2019-12-11 23:33:43","Heavenly bodies",,"1977-00-00 1977","Mark Allen Lere",S.I.,,,,,,20,,,,https://catalog.lib.unc.edu/catalog/UNCb2372573,,English,,,"N7433.4.L42 A4 1977","Art Library",,,,,,,"Mark, 1950- Lere","Artists' Books Collection"
474,XDT53MWF,book,"2019-12-11 23:32:07","2019-12-11 23:32:57",Genre,,"1977-00-00 1977","T. Rickaby",London,,1,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2338803,,English,,,"N7433.4.R535 A4 1977","Art Library",,,,,,,"Tony Rickaby","Artists' Books Collection"
475,GFUIETBF,book,"2019-12-11 23:31:16","2019-12-11 23:32:07","Now you know : [this is serious photography : a photo work book",,"1987-00-00 1987","Printing Methods","Rochester, N. Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2299634,,English,,,"N7433.4.S5 A4 1986","Art Library",,,,,,,"Irene Shwachman","Artists' Books Collection"
476,YZ9Z5DTR,book,"2019-12-11 23:29:39","2019-12-11 23:31:17","Ad infinitum",,"1987-00-00 1987","Nexus Press","Charlotte, NC",,,,,,,,0-915427-09-5,,https://catalog.lib.unc.edu/catalog/UNCb2289458,,English,,,"N7433.4.K623 A4 1987","Art Library: two copies in stacks, one in artists' book collection",,,,,,,"Michael, 1958- Klauke; Nexus Press","Artists' Books Collection"
477,E7EA28MC,book,"2019-12-11 23:27:36","2019-12-11 23:29:39","Unmatched halves",,"1987-00-00 1987","Words & Pictures","Oakland, Calif",,,,,,24,,,,https://catalog.lib.unc.edu/catalog/UNCb2285320,,English,,,"N7433.4.P68 A411 1987","Art Library",,"copy no. 101, signed by author",,,,,"M. F. Porges","Artists' Books Collection"
478,ARNHGYBY,book,"2019-12-11 23:26:13","2019-12-11 23:27:37","Industrial woman",,"1986-00-00 1986","Industrial Woman Collective","Melbourne, Victoria",,,,,,205,,0-9590949-0-3,,https://catalog.lib.unc.edu/catalog/UNCb2278060,,English,,,"HD6068.2.A9 D854 1986","Art Library",,,,,,,"Jas Duke; Peter Lyssiotis; Vivienne Mehes","Artists' Books Collection"
479,XZGDHCZF,book,"2019-12-11 23:25:14","2019-12-11 23:26:13","Trunk pieces : New York, 1975",,"1978-00-00 1978","Visual Studies Workshop Press","Rochester, N. Y.",,,1st,,,49,,,,https://catalog.lib.unc.edu/catalog/UNCb2270841,,English,,,"N7433.4.A66 A4 1978","Art Library",,,,,,,"Jacki Apple","Artists' Books Collection"
480,S3KSCVWU,book,"2019-12-11 23:24:08","2019-12-11 23:25:14","Carl Andre, Robert Barry, Douglas Huebler, Joseph Kosuth, Sol Lewitt, Robert Morris, Lawrence Weiner.",,"1968-00-00 1968",Siegelaub/Wendler,"New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2266091,,English,,,"N7433.4.A64 A4 1968","Art Library",,,,,,,"Lawrence Weiner; Carl, 1935- Andre; Robert, 1936- Barry; Douglas Huebler; Joseph Kosuth; Sol, 1928-2007 LeWitt; Robert, 1931-2018 Morris; Seth, 1941-2013 Siegelaub","Artists' Books Collection; ARTH 551"
481,F4HK99Z3,book,"2019-12-11 22:57:05","2019-12-11 23:22:18","The David Park Scroll",,"1989-00-00 1989","Bedford Arts","San Francisco, Calif.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2261470,,English,,,"NC139.P27 A4 1989","Art Library",,,,,,,"David, 1911-1960 Park; Paul Chadbourne, 1924-2004 Mills","Artists' Books Collection"
482,2NH7FQV4,book,"2019-12-11 22:54:45","2019-12-11 22:57:05","Rondo : an artist book",,"1989-00-00 1989","Bedford Arts","San Francisco, CA",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2260614,,English,,,"N7433.4.S33 A4 1989","Art Library",,,,,,,"Miriam, 1923-2015 Schapiro","Artists' Books Collection"
483,ZZ4K95WR,book,"2019-12-11 22:48:25","2019-12-11 22:54:45","Lines in two directions and in five colors on five colors with all their combinations",,"1988-00-00 1988","Walker Art Center","Minneapolis, MN",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2258813,,English,,,"N7433.4.L48 L56 1988","Art Library",,,,,,,"Sol, 1928-2007 LeWitt; Walker Art Center; Minnesota Center for Book Arts","Artists' Books Collection"
484,GAHFZ256,book,"2019-12-11 22:46:27","2019-12-11 22:48:26","Sheherezade : a flip book",,"1988-00-00 1988",[s.n.],[S.l.],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2238039,,English,,,"N7433.4.Z93 S54 1988","Art Library",,,,,,,"Janet Zweig; Holly Anderson","Artists' Books Collection"
485,TXIQ8XKT,book,"2019-12-11 22:40:07","2019-12-11 22:46:27","A journey to the Far Canine Range and the unexplored territory beyond Terrier Pass",,"1988-00-00 1988","Bedford Arts","San Francisco, CA",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2226381,,English,,,"N7433.4.D39 J6 1988","Art Library",,,,,,,"Roy, 1930-2007 De Forest","Artists' Books Collection"
486,U2MF224T,book,"2019-12-11 22:36:05","2019-12-11 22:39:43","I want to take picture",,"1987-00-00 1987","Nexus Press","Atlanta, Ga.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2221390,,English,,,"N7433.4.B874 A4 1987","Art Library",,,,,,,"Bill, 1943- Burke","Artists' Books Collection"
487,JKNJ93GK,book,"2019-12-11 22:27:48","2019-12-11 22:36:05","Some Los Angeles apartments",,"1970-00-00 1970","E. Ruscha","[Los Angeles]",,,2nd,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2219479,,English,,,"N7433.4.R78 A4 1970a","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection"
488,NAFRUGR9,book,"2019-12-11 22:25:32","2019-12-11 22:27:48","Real estate opportunities",,"1970-00-00 1970","E. Ruscha","[Los Angeles?]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2219475,,English,,,"N7433.4.R78 A4 1970","Art Library",,,,,,,"Edward Ruscha","Artists' Books Collection"
489,M98I24JJ,book,"2019-12-11 22:23:26","2019-12-11 22:25:32","Homo futurus",,"1986-00-00 1986","Visual Studies Workshop Press","Rochester, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2213000,,English,,,"N7433.4.R68 H666 1986","Art Library",,,,,,,"Barbara, 1948- Rosenthal; Visual Studies Workshop","Artists' Books Collection"
490,9PNZXXYJ,book,"2019-12-11 22:18:48","2019-12-11 22:23:26","Verbal landscape/dinosaur sat down",,"1987-00-00 1987","Albright-Knox Art Gallery ; CEPA Gallery",Buffalo,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2195817,,English,,,"N7433.4.L96 A4 1987","Art Library",,,,,,,"Nathan Lyons; Albright-Knox Art Gallery; CEPA Gallery","Artists' Books Collection"
492,ARW37XIL,book,"2019-12-11 00:43:10","2019-12-11 00:44:34","Sweet junk",,"1977-00-00 1977","The artist",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2140286,,English,,,"N7433.4.R75 A4 1977","Art Library",,,,,,,"Gail Rubini","Artists' Books Collection"
493,FW6XVIPQ,book,"2019-12-11 00:40:36","2019-12-11 00:42:44","Visual diary, 1/1/80-12/31/80",,"1981-00-00 1981","Cremona Foundation","Mechanicsville, MD",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2134315,,English,,,"N7433.4.B168 V5 1981","Art Library",,,,,,,"Vagrich Bakhchani͡an; Norton T. Dodge","Artists' Books Collection"
494,EYIGS3WV,book,"2019-12-11 00:38:38","2019-12-11 00:40:36","I am Siam",,"1984-00-00 1984","Visual Studies Workshop Press","Rochester, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2097067,,English,,,"N7433.4.R87 A4 1984","Art Library",,,,,,,"Paul Rutkovsky","Artists' Books Collection"
495,8M7R4N4L,book,"2019-12-11 00:35:05","2019-12-11 00:37:57","Heads bowed, eyes closed, no one looking around",,"1984-00-00 1984","What Reindeer","Covington, Ky.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2069310,,English,,,"N7433.4.W55 A4 1984","Art Library",,,,,,,"Michael, 1951- Wilson","Artists' Books Collection"
496,RURBWNX5,book,"2019-12-11 00:33:13","2019-12-11 00:34:00","Talismans and signifiers with sphere into cube",,"1984-00-00 1984","Graeme Murray Gallery",Edinburgh,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2064362,,English,,,"N7433.4.F56 A411 1984","Art Library",,,,,,,"Ian Hamilton Finlay; Richard Grasby; Nicholas Sloan","Artists' Books Collection"
497,42CU6NPN,book,"2019-12-11 00:28:14","2019-12-11 00:31:31","The case for the burial of ancestors",,"1981-00-00 1981","Zartscorp, Inc. Books ; Visual Studies Workshop","New York, N.Y. ; Rochester, N.Y.",,2,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2060745,,English,,,"N7433.4.Z44 A4 1981 bk.1-2","Art Library",,,,,,,"Paul Zelevansky","Artists' Books Collection"
498,AZ27E8TR,book,"2019-12-11 00:23:46","2019-12-11 00:28:14",Sensations,,"1984-00-00 1984","Visual Studies Workshop Press","Rochester, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2039119,,English,,,"N7433.4.R674 A4 1984","Art Library",,,,,,,"Barbara, 1948- Rosenthal","Artists' Books Collection"
499,A368J3CQ,book,"2019-12-11 00:21:52","2019-12-11 00:23:08","Young masters and misses",,"1984-00-00 1984","Museum of Modern Art","New York, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2034590,,English,,,"N7433.4.S75 A4 1984","Art Library",,,,,,,"Telfer Stokes; N.Y.) Museum of Modern Art (New York","Artists' Books Collection"
500,5MAEV7QD,book,"2019-12-11 00:16:42","2019-12-11 00:19:17","Diter Rot : [designs",,"1965-00-00 1965","William and Noma Copley Foundation",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2033559,,English,,,"N6888.R67 W5","Art Library",,,,,,,"Dieter, 1930-1998 Roth; Richard (Radio journalist) Hamilton; William and Noma Copley Foundation","Artists' Books Collection; Jstor Artist Books"
501,HCXE4WW6,book,"2019-12-11 00:13:02","2019-12-11 00:16:42","Camp fire : my artform is the short journey made by walking in the landscape",,"1985-00-00 1985","Stedelijk Van Abbemuseum",Eindhoven,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2030843,,English,,,"N7433.4 .F84 1985","Art Library",,,,,,,"Hamish Fulton; Stedelijk Van Abbemuseum","Artists' Books Collection; CMPL 260"
502,4RMAU6HA,book,"2019-12-11 00:07:05","2019-12-11 00:13:02",Italia,,"1984-00-00 1984","Anthony d'Offay",London,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2025378,,"Italian and English",,,"Oversize N7433.4.C83 A4 1984","Art Library",,,,,,,"Enzo Cucchi; Anthony d'Offay (Firm)","Artists' Books Collection"
503,X93NB47V,book,"2019-12-11 00:02:13","2019-12-11 00:06:28","Sol LeWitt wall drawings 1968-1984 : [Stedelijk Museum, Amsterdam, Van Abbemuseum, Endhoven, Wadsworth Atheneum, Hartford, Ct. : 1984].",,"1984-00-00 1984",[S.n.],[S.l.],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1993775,,English,,,"N7433.4.L48 W3 1984","Art Library",,,,,,,"Sol, 1928-2007 LeWitt; Amsterdam (Netherlands). Stedelijk Museum; Stedelijk Van Abbemuseum; Wadsworth Atheneum","Artists' Books Collection; To be photographed"
504,RFU9C2TV,book,"2019-12-10 23:59:22","2019-12-11 00:02:01","Commodity character",,"1982-00-00 1982","Visual Studies Workshop Press","Rochester, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1992630,,English,,,"N7433.4.R87 A4 1982","Art Library",,,,,,,"Paul Rutkovsky","Artists' Books Collection"
505,7NQTY9J3,book,"2019-12-10 23:53:13","2019-12-10 23:57:58","Two pieces.",,"1971-00-00 1971","[Publisher not identified]","[Torino, Sperone]",,2,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1984472,,English,,,"N7433.4.B37 T9 1971 v.1-2","Art Library",,,,,,,"Robert, 1936- Barry","Artists' Books Collection"
506,BBKPIAK8,book,"2019-12-10 23:50:11","2019-12-10 23:51:37","How to commit suicide in South Africa",,"1983-00-00 1983","Raw Books & Graphics","NYC [i.e. New York City], N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1953433,,English,,,"Oversize N7433.4.C58 H68 1983","Art Library",,,,,,,"Sue, 1951- Coe; Holly Metz","Artists' Books Collection"
507,CX95PR5D,book,"2019-12-10 23:48:10","2019-12-10 23:50:12",Picture/Readings,,"1978-00-00 1978","[Printed Matter?]","[New York?]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1953022,,English,,,"N7433.4.K78 A4 1978","Art Library",,,,,,,"Barbara, 1945- Kruger","Artists' Books Collection"
508,PG4L9B6A,book,"2019-12-10 23:46:02","2019-12-10 23:47:24","128 details from a picture (Halifax 1978)",,"1980-00-00 1980","Press of the Nova Scotia College of Art and Design","Halifax, Nova Scotia",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1944317,,English,,,"TR654 .R485 1980","Art Library",,,,,,,"Gerhard, 1932- Richter","Artists' Books Collection"
509,4V7VXXUQ,book,"2019-12-10 23:44:14","2019-12-10 23:46:02","AS in DS : an eye on the road",,"1983-00-00 1983","Delft University Press",Delft,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1943334,,English,,,"N7433.4.S559 A8 1983","Art Library",,,,,,,"Alison, 1928-1993 Smithson","Artists' Books Collection"
510,8NA97YKF,book,"2019-12-10 23:41:00","2019-12-10 23:44:15","In celebration of the discovery of the abandoned star factory",,"1982-00-00 1982","Nexus Press",Atlanta,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1937581,,English,,,"N7433.4 .H68 1982","Art Library",,,,,,,"David, active 1982 Horton; Nexus Press","Artists' Books Collection"
