SSID,Filename,File Count,Creator[4599],Publisher[3099011],Title[4601],Image View Type[4603],Date[4604],Materials/Techniques[4608],Measurements[4609],Artstor Classification[4610],Work Type[4867],Repository[4612],Call Number[4613],Creation/Discovery Site[4615],Country[4619],Description[4620],Subject[4621],Relationships[4622],Source[4623],Photographer[4624],Image Date[4625],ID Number[4626],Rights[4627],ARTstor Id[4628],Resource Type[1040493],Media URL
24509450,se_nos_diria1.tif,2,"Téllez Repetto, Rodrigo",,Se nos diría que publicar espacio es otra cosa,(Cover & interior images),2017,Binding method -- Pamphlet binding | Printing / production method -- Offset. | Printing / production method -- Letterpress.,"54 pages, 10 unnumbered pages : color illustrations ; 20 cm",Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.T458 S4 2017,Cuidad de México : Buró-Buró Officina de proyectos culturales,,,Public art -- Mexico -- Mexico City.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2/12/2019,se_nos_diria1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24509450/representation-view
24509448,obsessed1.tif,2,"Buck, Chris, 1964- artist",,"Obsessed : golf & marriage, a cautionary tale",(Cover & interior images),2000,Binding method -- Smyth sewing. | Printing / production method -- Offset.,"1 volume (unpaged) : color illustrations, 17 cm",Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.B833 O28 2010,New York ; Los Angeles : [publisher not identified],,,Dolls in art. | Dos-à-dos bindings.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2/12/2019,obsessed1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24509448/representation-view
24509446,sierra_suite1.tif,2,"Hockensmith, Josh, author.",,Sierra suite : (overheard),(Cover & interior images),2017,Binding method -- Two-signature pamphlet.| Printing / production method -- Letterpress.| Printing / production method -- Pressure printing.,24 unnumbered pages ; 15 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.H62 S54 2017,"[Pittsboro, North Carolina] : Blue Bluer Books",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2/12/2019,sierra_suite1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24509446/representation-view
24509444,insects_an_artists_book1.tif,2,,,"[Insects, an artist's book]",(Cover & interior images),2018,Binding method -- Pamphlet binding| Printing / production method -- Woodcut.| Printing / production method -- Unknown.,1 volume (unpaged) : chiefly color illustrations ; 22 cm + 1 card,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.A1 I57 2018,[Mexico City?] : [publisher not identified],,,Insects in art.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2/12/2019,insects_an_artists_book1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24509444/representation-view
24509442,eternal_friendship1.tif,2,"Durand, Anouck, 1975- author",,Eternal friendship,(Cover & interior images),2017,Binding method -- Case binding.| Printing / production method -- Offset.,99 pages : illustrations (some color) ; 25 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.D868 E84 2017,New York : Siglio,,,"Veseli, Refik.| Mandil, Mosha.| Photographers -- Albania -- Biography -- Pictorial works. | Photographers -- Israel -- Biography -- Pictorial works. | Photojournalism -- Albania -- History -- Pictorial works.| Photojournalism -- China -- History -- Pictorial works. | Propaganda, Communist -- Pictorial works.| Albania -- Foreign relations -- China -- Pictorial works.| China -- Foreign relations -- Albania -- Pictorial works.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2/12/2019,eternal_friendship1.tif,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24509442/representation-view
24509440,dawn_mission1.tif,2,"Novitskova, Katja, 1984- artist.",,Dawn mission,(Cover & interior images),2016,Binding method -- Smyth sewing.| Printing / production method -- Offset.,226 pages : chiefly color illustrations ; 27 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.N688 D39 2016,Milan : Mousse Publishing,,,"Novitskova, Katja, 1984- -- Exhibitions.| Installations (Art) -- Germany -- Exhibitions.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2/12/2019,dawn_mission1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24509440/representation-view
24452249,ed_ruscha_photographs1.tif,2,"Ruscha, Edward (American painter, photographer, and printmaker, born 1937)",,Ed Ruscha : photographs.,(Cover & interior images),2003,Binding method -- Smyth sewing.|Printing / production method -- Commercial production.,59 p. : chiefly ill. ; 22 cm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.R78 A4 2003,"Beverly Hills, Calif. : Gagosian Gallery",,,"Ruscha, Edward -- Exhibitions.| Photography, Artistic.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"February 2, 2019",ed_ruscha_photographs1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24452249/representation-view
24362134,we_were_drawn_here1.tif,2,"Birk, Lukas",,We were drawn here = M? ?nj? tars?m shud?m,(Cover & interior images),2016,Binding method -- Drum leaf.| Printing / production method -- Letterpress.| Printing / production method -- Woodcut.,21 unnumbered pages : illustrations ; 22 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.B555 W4 2016,[Place of publication not identified] : [Fraglich Publishing],,,Pakistanis -- Pakistan -- Peshawar -- Portraits.| Woodcuts (prints)| Letterpress printing.| Double leaves.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",we_were_drawn_here1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362134/representation-view
24362132,sol_y_carne1.tif,2,"Lassmann Klee, Erich.",,Sol y carne,(Cover & interior images),2007,Binding method -- Perfect binding| Printing / production method -- Unknown.,41 p. : chiefly ill. ; 17 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.L375 S65 2007,[Mexico] Tatevari Ediciones,,,"Rimbaud, Arthur, 1854-1891. Soleil et chair.| Art, Modern -- 21st century -- Catalogs.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",sol_y_carne1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362132/representation-view
24362128,sidewalk_salon1.tif,4,"Moursi, Manar",,"Sidewalk salon, Cairo = ??l?n al-ra??f",(Cover & interior images),2015,Binding method -- Smyth sewing.| Printing / production method -- Offset.,214 pages : illustrations (some color) ; 26 cm + 3 maps,Prints,Artist's book,Joseph C. Sloane Art Library,TR659.8 .M68 2015 c. 2,[Eindhoven] Netherlands : Onomatopee ; [Cairo] : Al Kotob Khan for Publishing,,,Street photography -- Egypt -- Cairo.| Chairs in art.| Outdoor furniture -- Egypt -- Cairo -- Guidebooks.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",sidewalk_salon1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362128/representation-view
24362126,resolution1.tif,2,"Mutaba??ir?, Bihz?d",,Resolution,(Cover & interior images),2016,Binding method -- Case binding.| Printing / production method -- Digital print (unspecified),1 volume (unpaged) : all illustrations (some color) ; 20 x 29 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.M915 R47 2016,[Iran] : Behzad Motebaheri,,,"Photography, Artistic.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",resolution1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362126/representation-view
24362124,nosce_te_ipsum1.tif,2,"	Rueda, María Isabel, 1972- ",,Nosce te ipsvm,(Cover & interior images),2016,Binding method -- Tied with ribbon.| Printing / production method -- Unknown.,1 volume (unpaged) : facsimiles ; 23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.R77 N67 2016,"[Bogotá, Colombia] : Jardin Publicaciones",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",nosce_te_ipsum1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362124/representation-view
24362122,linha_vermelha1.tif,2,"Bonduki, Inês",,Linha Vermelha,(Cover & interior images),2017,Binding method -- Accordion fold.| Printing / production method -- Offset.,1 volume (unpaged) : color illustrations ; 17 x 17 cm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.B652 L56 2017,[Brazil] : Tempo d'imagem,,,Subways in art.| Folded books.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",linha_vermelha1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362122/representation-view
24362119,doctor_mister_miracles_vocab1.tif,3,"Hockensmith, Josh",,Doctor Mister Miracles's vocabulary guide for the perplexed miraclist,"(Images of the enclosure, cover, & interior)",2014,"Binding method -- Side sewing.| Printing / production method -- Digital print (inkjet)| Printing / production method -- Stamped print.| Printing / production method -- Hand drawing, inking, or painting.",24 unnumbered leaves : color illustrations ; 10 x 15 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.H62 D63 2014,"Pittsboro, North Carolina : Blue Bluer Books",,,"English language -- Terms and phrases.| Portmanteau words.| Words, New.| Language and languages.| ",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",doctor_mister_miracles_vocab1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362119/representation-view
24362117,deliberate_operations4_1.tif,2,Everything is Collective (Group of artists),,Deliberate operations 4 : no analog state,(Cover & interior images),2017,Binding method -- Spiral binding.| Printing / production method -- Offset.,1 volume (unpaged) : all color illustrations ; 28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.E94 D46 2017,"Chicago, Illinois, Los Angeles, California: EIC Press",,,Appropriation (Art),,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",deliberate_operations4_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362117/representation-view
24362115,deliberate_operations3_1.tif,2,Everything is Collective (Group of artists),,"Deliberate operations. Issue no. 3, Full empties",(Cover & interior images),2015,Binding method -- Spiral binding.| Printing / production method -- Offset.,1 volume (unpaged) : all color illustrations ; 28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.E94 D45 2015,"Chicago, Illinois, Los Angeles, California: EIC Press",,,Appropriation (Art),,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"January 10, 2019",deliberate_operations3_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24362115/representation-view
24123035,sss_kayfa1.tif,2,"Erek, Cevdet,",,??s : kayfa tu??k? ?awt al-s??il bi-istikhd?m yadayn wa-sajj?dah,(Cover & interior images),2017,Binding method -- Perfect binding. | Printing / production method -- Offset.,71 pages : illustrations ; 15 cm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.E67 S66 2017,[Place of publication not identified] : Kayfa ta,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"November 3, 2018",sss_kayfa1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24123035/representation-view
24123033,primer1.tif,2,"Craven, Matthew, 1981-",,Primer,(Cover & interior images),2018,Binding method -- Case binding. | Printing / production method -- Offset.,1 volume (unpaged) : chiefly illustrations (some color) ; 33 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.C73 P75 2018,"Brooklyn, New York : Anthology Editions",,,Appropriation (Art) | Collage. | Repetitive patterns (Decorative arts) in art. ,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"November 3, 2018",primer1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24123033/representation-view
24123031,partitura1.tif,2,"Devis, Ana María.",,Partitura,(Cover & interior images),2003,Binding method -- Concertina. | Printing / production method -- Unknown. | Lift-the-flap books.,"1 portfolio (34 p.) : col. ill., photos. ; 30 cm.",Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.D52 P35 2003,"Bogotá, Colombia : Ediciones Arte Dos Gráfico",,,Pregnancy -- Pictorial works. | Pregnancy in art. | Lift-the-flap books -- Specimens. | Toy and movable books -- Specimens. | Lift-the-flap books. | Toys and movable books.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"November 3, 2018",partitura1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24123031/representation-view
24123029,kayfa_tarifu1.tif,2,"McKee, Francis",,Kayfa ta?rifu m? alladh? yujrá ?aqqan,(Cover & interior images),2016,Binding method -- Perfect binding. | Printing / production method -- Offset.,49 pages ; 15 cm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.M3355 H69125 2016,Place of publication not identified : Kayfa ta,,,Truthfulness and falsehood.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"November 3, 2018",kayfa_tarifu1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24123029/representation-view
24092626,golosina6_1.tif,3,Pablo Picyk,,Colección Golosina: El Sonido,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no. 6,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina6_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092626/representation-view
24092623,golosina5_1.tif,3,Grupo Hawaii,,Colección Golosina: Prole Hawaii,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no. 5,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina5_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092623/representation-view
24092620,golosina4_1.tif,3,Mauro Palavecino,,Colección Golosina: No Bonus No Life,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no. 4,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina4_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092620/representation-view
24092617,golosina3_1.tif,3,Magali Mansilla,,Colección Golosina: Infancia,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no.3,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina3_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092617/representation-view
24092614,golosina2_1.tif,3,Ariel Cortese,,Colección Golosina: Uniformis,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no.2,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina2_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092614/representation-view
24092612,golosina1_1.tif,2,Juan Geist,,Colección Golosina: Jack Aviador,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no.1,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina1_1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092612/representation-view
24092611,golosina_all4_6.tif,2,,,Colección Golosina no.4-6,(Cover & interior images),2004,Binding method -- Smyth sewing.| Printing / production method -- Offset.,v. : all col. ill. ; 60 mm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A7 C64 2004 no. 4-6,Buenos Aires : Pina Estudio,,,Miniature books -- Specimens.| Visual narrative.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",golosina_all4_6,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092611/representation-view
24092609,democracy_to_freedom1.tif,2,CrimethInc. Ex-Workers' Collective,,From democracy to freedom.,(Cover & interior images),2016?,,46 pages : illustrations ; 22 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.C75 F8 2016,"[Atlanta, GA?] : CrimethInc",,,Democracy.| Liberty.| Anarchism.| Legitimacy of governments.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 27, 2018",democracy_to_freedom1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24092609/representation-view
24077772,two_pieces1.tif,2,"Barry, Robert, 1936-",,Two Pieces,(Cover & interior images),1971,Binding method -- Unknown.| Printing / production method -- Commercial production.,2 v. 17 cm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.B37 T9 1971 v.1-2,"Torino, Sperone",,,Conceptual bookworks.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 23, 2018",two_pieces1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24077772/representation-view
24077770,the_perfect_man1.tif,2,"De Middel, Cristina, 1975-",,The Perfect Man,(Cover & interior images),2017,Binding method -- Smyth sewing. | Binding method -- Case binding.| Printing / production method -- Offset.,1 volume (unpaged) : chiefly illustrations (some color) ; 29 cm,Prints,Artist's book,Joseph C. Sloane Art Library,TR647 .D426 2017,Madrid : La Fábrica,,,"Aswani, Ashok -- Exhibitions.| Portrait photography -- Exhibitions.| Photography, Artistic -- Exhibitions.| ",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 23, 2018",the_perfect_man1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24077770/representation-view
24077767,piute_creek1.tif,3,"Thomas, Peter (Peter R.) | Snyder, Gary, 1930- | Thomas, Donna (Donna Sue), ",,Piute Creek,"(Images of the enclosure, cover, & interior)",2017,Wooden bindings (Binding) -- California -- Santa Cruz -- 21st century.,1 volume (unpaged) : color illustrations ; 29 x 22 x 5 cm (cased) + 1 bag (30 x 35 cm),Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.T534 P58 2017,Santa Cruz : Peter and Donna Thomas,,,Poetry.| Water in art.| Pulp painting.| California.| Linocuts (prints).| Scrolls (information artifacts).,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 23, 2018",piute_creek1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24077767/representation-view
24077765,kayfa1.tif,2,"Mirs?l, ?m?n, author",,Kayfa talta?im : ?an al-um?mah wa-ashb??ih?,(Cover & interior images),2016,Binding method -- Perfect binding.| Printing / production method -- Offset.,144 pages : illustrations ; 15 cm.,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.M57 K39 2016,"[Place of publication not identified] : Kayfa ta,",,,Motherhood in art.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 23, 2018",kayfa1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24077765/representation-view
24077763,high_winds1.tif,2,"Oswald, Sylvan, 1979- | Fleischmann, Jessica",,High Winds,(Cover & interior images),2017,,1 volume (unpaged) : illustrations ; 18 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.F6218 H54 2017,"South Pasadena, CA : X Artists' Books,",,,Insomnia -- Fiction.| Voyages and travels -- Fiction. | Hallucinations and illusions -- Fiction.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"October 23, 2018",high_winds1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24077763/representation-view
23970309,tehran_undated1.tif,2,"Parvaz, M?l?d",,"Tihr?n, b??t?r?kh = Tehran, undated",(Cover & interior images),2016,,65 pages : color illustrations ; 20 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.P373 T54 2016,[Iran] : [publisher not identified],,,Appropriation (Art)| Tehran (Iran) -- Pictorial works.| ,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,10/02/2018,tehran_undated1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/23970309/representation-view
23970307,la_prose_du1.tif,2,"Maryatt, Kitty,",,La prose du Transsibérien re-creation,(Cover & interior images),2018,"Binding method -- Map fold variations.| Printing / production method -- Pochoir.| Printing / production method -- Letterpress.| Printing / production method -- Hand drawing, inking, or painting.","1 sheet : illustrations ; 36 x 234 cm, folded to 18 x 9 cm + 1 booklet (1 sheet ; folded to 18 x 9 cm",Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.M382 P76 2018,"Playa Vista, California : Two Hands Press",,,Accordion fold format (Binding)| Concrete poems.| Letterpress printing.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,10/02/2018,la_prose_du1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/23970307/representation-view
23970304,computed_curation1.tif,3,"Schmitt, Philipp,",,Computed curation,(Cover & interior images),2018,Binding method -- Accordion fold.| Printing / production method -- Offset.| Printing / production method -- Screen print.,120 pages : color illustrations ; 20 cm + 1 slipcase,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.S3495 C66 2018,Hong Kong : Bromide Publishing House Ltd,,,Computer art.| Computer algorithms.| Machine learning.| Computer vision.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,10/02/2018 ,computed_curation1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/23970304/representation-view
